key_id,fields,repeat,seed,frequency_preserved_exactly,cardinality_preserved_exactly,rows,distinct_contexts,ucc_distinctness_ratio,duplicate_excess_rows,singleton_contexts,singleton_context_share,singleton_rows,singleton_row_share,conflicted_contexts,conflicted_rows,bayes_error,bayes_error_rate,agreement_rate,context_size_median,context_size_p90,context_size_p95,context_size_max
K7,Bytes | Outbound Interface | Risk of app | Source Port,7,42,True,True,1048576,834869,0.7961931228637695,213707,748406,0.8964352491229163,748406,0.7137355804443359,24,318,36,3.4332275390625e-05,0.9999656677246094,1.0,2.0,2.0,4721
K1,Application | Bytes | Outbound Interface | Source Port,8,42,True,True,1048576,835122,0.7964344024658203,213454,748764,0.8965923541710074,748764,0.7140769958496094,15,141,22,2.09808349609375e-05,0.9999790191650391,1.0,2.0,2.0,4750
K2,Application | Bytes | Destination Country | Source Port,8,42,True,True,1048576,840124,0.8012046813964844,208452,756166,0.9000647523460823,756166,0.7211360931396484,7,77,9,8.58306884765625e-06,0.9999914169311523,1.0,1.0,2.0,4732
K3,Bytes | Destination Port | Outbound Interface | Source Port,8,42,True,True,1048576,936990,0.8935832977294922,111586,887258,0.9469236598042668,887258,0.8461551666259766,11,105,14,1.33514404296875e-05,0.9999866485595703,1.0,1.0,2.0,2220
K4,Bytes | Outbound Interface | Source Port | Subcategory of app,8,42,True,True,1048576,834690,0.7960224151611328,213886,748098,0.8962584911763649,748098,0.7134418487548828,16,143,23,2.193450927734375e-05,0.9999780654907227,1.0,2.0,2.0,4750
K5,Bytes | Category of app | Outbound Interface | Source Port,8,42,True,True,1048576,834546,0.7958850860595703,214030,747865,0.8961339458819526,747865,0.7132196426391602,28,202,38,3.62396240234375e-05,0.9999637603759766,1.0,2.0,2.0,4750
K6,Bytes | Outbound Interface | Source Port | Technology of app,8,42,True,True,1048576,834171,0.795527458190918,214405,747322,0.8958858555380131,747322,0.7127017974853516,20,186,36,3.4332275390625e-05,0.9999656677246094,1.0,2.0,2.0,4750
K7,Bytes | Outbound Interface | Risk of app | Source Port,8,42,True,True,1048576,834962,0.7962818145751953,213614,748514,0.8964647492939799,748514,0.7138385772705078,19,151,26,2.47955322265625e-05,0.9999752044677734,1.0,2.0,2.0,4750
K1,Application | Bytes | Outbound Interface | Source Port,9,42,True,True,1048576,835488,0.796783447265625,213088,749348,0.8968985790340496,749348,0.7146339416503906,15,115,24,2.288818359375e-05,0.9999771118164062,1.0,2.0,2.0,4718
K2,Application | Bytes | Destination Country | Source Port,9,42,True,True,1048576,840495,0.8015584945678711,208081,756839,0.9004681764912343,756839,0.7217779159545898,6,100,9,8.58306884765625e-06,0.9999914169311523,1.0,1.0,2.0,4702
